month,region,country,no_of_visitor_arrivals,year
8,Asia,Saudi Arabia,4568,1996
8,Asia,Kuwait,685,1996
8,Asia,United Arab Emirates,3235,1996
8,Europe,United Kingdom,28483,1996
8,Europe,Germany,13530,1996
8,Europe,France,8287,1996
8,Europe,Italy,6692,1996
8,Europe,Netherlands,5781,1996
8,Europe,Greece,1768,1996
8,Europe,Belgium-luxembourg,1918,1996
8,Europe,Switzerland,4140,1996
8,Europe,Austria,2096,1996
8,Europe,Scandinavia,5588,1996
8,Europe,CIS & Eastern Europe,3832,1996
8,Americas,USA,29037,1996
8,Americas,Canada,5544,1996
8,Oceania,Australia,28349,1996
8,Oceania,New Zealand,6544,1996
9,Asia,Brunei,4597,1996
9,Asia,Indonesia,75232,1996
9,Asia,Malaysia,52026,1996
9,Asia,Philippines,12566,1996
9,Asia,Thailand,16500,1996
9,Asia,Vietnam,2350,1996
9,Asia,Japan,103706,1996
9,Asia,Hong Kong,18581,1996
9,Asia,"China, People's Republic Of",15127,1996
9,Asia,Taiwan,34036,1996
9,Asia,"Korea, Republic Of",19266,1996
9,Asia,India,15872,1996
9,Asia,Pakistan,3493,1996
9,Asia,"Sri Lanka, Republic Of",3575,1996
9,Asia,Saudi Arabia,1421,1996
9,Asia,Kuwait,243,1996
9,Asia,United Arab Emirates,1216,1996
9,Europe,United Kingdom,25320,1996
9,Europe,Germany,15133,1996
9,Europe,France,5680,1996
9,Europe,Italy,3482,1996
9,Europe,Netherlands,5786,1996
9,Europe,Greece,838,1996
9,Europe,Belgium-luxembourg,1692,1996
9,Europe,Switzerland,4418,1996
9,Europe,Austria,1592,1996
9,Europe,Scandinavia,5727,1996
9,Europe,CIS & Eastern Europe,3361,1996
9,Americas,USA,27605,1996
9,Americas,Canada,4011,1996
9,Oceania,Australia,33247,1996
9,Oceania,New Zealand,7181,1996
10,Asia,Brunei,4079,1996
10,Asia,Indonesia,86438,1996
10,Asia,Malaysia,56312,1996
10,Asia,Philippines,13157,1996
10,Asia,Thailand,26526,1996
10,Asia,Vietnam,1825,1996
10,Asia,Japan,88760,1996
10,Asia,Hong Kong,21742,1996
10,Asia,"China, People's Republic Of",18084,1996
10,Asia,Taiwan,38828,1996
10,Asia,"Korea, Republic Of",25995,1996
10,Asia,India,18674,1996
10,Asia,Pakistan,3487,1996
10,Asia,"Sri Lanka, Republic Of",3562,1996
10,Asia,Saudi Arabia,870,1996
10,Asia,Kuwait,208,1996
10,Asia,United Arab Emirates,944,1996
10,Europe,United Kingdom,29589,1996
10,Europe,Germany,19584,1996
10,Europe,France,5959,1996
10,Europe,Italy,3265,1996
10,Europe,Netherlands,6135,1996
10,Europe,Greece,1172,1996
10,Europe,Belgium-luxembourg,1858,1996
10,Europe,Switzerland,6326,1996
10,Europe,Austria,2114,1996
10,Europe,Scandinavia,7743,1996
10,Europe,CIS & Eastern Europe,3480,1996
10,Americas,USA,32914,1996
10,Americas,Canada,5323,1996
10,Oceania,Australia,34093,1996
10,Oceania,New Zealand,5577,1996
11,Asia,Brunei,5083,1996
11,Asia,Indonesia,82048,1996
11,Asia,Malaysia,60006,1996
11,Asia,Philippines,13209,1996
11,Asia,Thailand,16730,1996
11,Asia,Vietnam,1907,1996
11,Asia,Japan,98198,1996
11,Asia,Hong Kong,19259,1996
11,Asia,"China, People's Republic Of",21241,1996
11,Asia,Taiwan,40827,1996
11,Asia,"Korea, Republic Of",27947,1996
11,Asia,India,17083,1996
11,Asia,Pakistan,2997,1996
11,Asia,"Sri Lanka, Republic Of",3635,1996
11,Asia,Saudi Arabia,749,1996
11,Asia,Kuwait,265,1996
11,Asia,United Arab Emirates,869,1996
11,Europe,United Kingdom,30458,1996
11,Europe,Germany,18668,1996
11,Europe,France,5716,1996
11,Europe,Italy,3225,1996
11,Europe,Netherlands,5696,1996
11,Europe,Greece,1005,1996
11,Europe,Belgium-luxembourg,1689,1996
11,Europe,Switzerland,6583,1996
11,Europe,Austria,2735,1996
11,Europe,Scandinavia,8726,1996
11,Europe,CIS & Eastern Europe,4569,1996
11,Americas,USA,32954,1996
11,Americas,Canada,6133,1996
11,Oceania,Australia,28433,1996
11,Oceania,New Zealand,4957,1996
12,Asia,Brunei,9864,1996
12,Asia,Indonesia,123879,1996
12,Asia,Malaysia,76733,1996
12,Asia,Philippines,14619,1996
12,Asia,Thailand,23054,1996
12,Asia,Vietnam,2160,1996
12,Asia,Japan,104291,1996
12,Asia,Hong Kong,23599,1996
12,Asia,"China, People's Republic Of",22526,1996
12,Asia,Taiwan,38958,1996
12,Asia,"Korea, Republic Of",33228,1996
12,Asia,India,16593,1996
12,Asia,Pakistan,3475,1996
12,Asia,"Sri Lanka, Republic Of",4918,1996
12,Asia,Saudi Arabia,1035,1996
12,Asia,Kuwait,363,1996
12,Asia,United Arab Emirates,1190,1996
12,Europe,United Kingdom,26594,1996
12,Europe,Germany,14097,1996
12,Europe,France,5905,1996
12,Europe,Italy,3065,1996
12,Europe,Netherlands,5132,1996
12,Europe,Greece,1223,1996
12,Europe,Belgium-luxembourg,2050,1996
12,Europe,Switzerland,5706,1996
12,Europe,Austria,1975,1996
12,Europe,Scandinavia,7931,1996
12,Europe,CIS & Eastern Europe,4367,1996
12,Americas,USA,30199,1996
12,Americas,Canada,5851,1996
12,Oceania,Australia,29556,1996
12,Oceania,New Zealand,5495,1996
1,Asia,Brunei,4741,1997
1,Asia,Indonesia,86930,1997
1,Asia,Malaysia,51168,1997
1,Asia,Philippines,11778,1997
1,Asia,Thailand,17482,1997
1,Asia,Vietnam,1709,1997
1,Asia,Myanmar,2102,1997
1,Asia,Japan,101222,1997
1,Asia,Hong Kong,15974,1997
1,Asia,"China, People's Republic Of",22226,1997
1,Asia,Taiwan,32880,1997
1,Asia,"Korea, Republic Of",51670,1997
1,Asia,India,16077,1997
1,Asia,Pakistan,2701,1997
1,Asia,"Sri Lanka, Republic Of",3553,1997
1,Asia,Saudi Arabia,661,1997
1,Asia,Kuwait,161,1997
1,Asia,United Arab Emirates,893,1997
1,Europe,United Kingdom,28846,1997
1,Europe,Germany,14742,1997
1,Europe,France,5483,1997
1,Europe,Italy,3671,1997
1,Europe,Netherlands,5456,1997
1,Europe,Greece,1023,1997
1,Europe,Belgium-luxembourg,1751,1997
1,Europe,Switzerland,5102,1997
1,Europe,Austria,1964,1997
1,Europe,Scandinavia,9438,1997
1,Europe,CIS & Eastern Europe,5266,1997
1,Americas,USA,34682,1997
1,Americas,Canada,6356,1997
1,Oceania,Australia,35033,1997
1,Oceania,New Zealand,5411,1997
2,Asia,Brunei,4350,1997
2,Asia,Indonesia,122961,1997
2,Asia,Malaysia,60067,1997
2,Asia,Philippines,10946,1997
2,Asia,Thailand,17079,1997
2,Asia,Vietnam,1976,1997
2,Asia,Myanmar,1925,1997
2,Asia,Japan,94814,1997
2,Asia,Hong Kong,30591,1997
2,Asia,"China, People's Republic Of",20102,1997
2,Asia,Taiwan,54677,1997
2,Asia,"Korea, Republic Of",30742,1997
2,Asia,India,13001,1997
2,Asia,Pakistan,2307,1997
2,Asia,"Sri Lanka, Republic Of",2901,1997
2,Asia,Saudi Arabia,945,1997
2,Asia,Kuwait,336,1997
2,Asia,United Arab Emirates,860,1997
2,Europe,United Kingdom,29078,1997
2,Europe,Germany,15246,1997
2,Europe,France,5259,1997
2,Europe,Italy,2679,1997
2,Europe,Netherlands,4880,1997
2,Europe,Greece,737,1997
2,Europe,Belgium-luxembourg,1966,1997
2,Europe,Switzerland,4762,1997
2,Europe,Austria,2032,1997
2,Europe,Scandinavia,8586,1997
2,Europe,CIS & Eastern Europe,4490,1997
2,Americas,USA,30436,1997
2,Americas,Canada,5934,1997
2,Oceania,Australia,24058,1997
2,Oceania,New Zealand,3441,1997
3,Asia,Brunei,3739,1997
3,Asia,Indonesia,90223,1997
3,Asia,Malaysia,54780,1997
3,Asia,Philippines,16024,1997
3,Asia,Thailand,20685,1997
3,Asia,Vietnam,1792,1997
3,Asia,Myanmar,2378,1997
3,Asia,Japan,115936,1997
3,Asia,Hong Kong,26423,1997
3,Asia,"China, People's Republic Of",19995,1997
3,Asia,Taiwan,42163,1997
3,Asia,"Korea, Republic Of",37501,1997
3,Asia,India,17075,1997
3,Asia,Pakistan,3804,1997
3,Asia,"Sri Lanka, Republic Of",3691,1997
3,Asia,Saudi Arabia,922,1997
3,Asia,Kuwait,263,1997
3,Asia,United Arab Emirates,997,1997
3,Europe,United Kingdom,37596,1997
3,Europe,Germany,19555,1997
3,Europe,France,6319,1997
3,Europe,Italy,3147,1997
3,Europe,Netherlands,5417,1997
3,Europe,Greece,1045,1997
3,Europe,Belgium-luxembourg,1818,1997
3,Europe,Switzerland,5224,1997
3,Europe,Austria,2100,1997
3,Europe,Scandinavia,9355,1997
3,Europe,CIS & Eastern Europe,4402,1997
3,Americas,USA,36114,1997
3,Americas,Canada,6372,1997
3,Oceania,Australia,29883,1997
3,Oceania,New Zealand,5005,1997
4,Asia,Brunei,3969,1997
4,Asia,Indonesia,88338,1997
4,Asia,Malaysia,59677,1997
4,Asia,Philippines,15666,1997
4,Asia,Thailand,29631,1997
4,Asia,Vietnam,1823,1997
4,Asia,Myanmar,2640,1997
4,Asia,Japan,81059,1997
4,Asia,Hong Kong,19824,1997
4,Asia,"China, People's Republic Of",20813,1997
4,Asia,Taiwan,44600,1997
4,Asia,"Korea, Republic Of",19877,1997
4,Asia,India,18352,1997
4,Asia,Pakistan,2953,1997
4,Asia,"Sri Lanka, Republic Of",4333,1997
4,Asia,Saudi Arabia,1439,1997
4,Asia,Kuwait,329,1997
4,Asia,United Arab Emirates,1115,1997
4,Europe,United Kingdom,30933,1997
4,Europe,Germany,18185,1997
4,Europe,France,6705,1997
4,Europe,Italy,2929,1997
4,Europe,Netherlands,4996,1997
4,Europe,Greece,982,1997
4,Europe,Belgium-luxembourg,1685,1997
4,Europe,Switzerland,5092,1997
4,Europe,Austria,1893,1997
4,Europe,Scandinavia,7403,1997
4,Europe,CIS & Eastern Europe,3667,1997
4,Americas,USA,32040,1997
4,Americas,Canada,4960,1997
4,Oceania,Australia,26843,1997
4,Oceania,New Zealand,6013,1997
5,Asia,Brunei,5509,1997
5,Asia,Indonesia,83521,1997
5,Asia,Malaysia,65487,1997
5,Asia,Philippines,16418,1997
5,Asia,Thailand,22094,1997
5,Asia,Vietnam,1649,1997
5,Asia,Myanmar,2582,1997
5,Asia,Japan,74525,1997
5,Asia,Hong Kong,18489,1997
5,Asia,"China, People's Republic Of",27195,1997
5,Asia,Taiwan,44301,1997
5,Asia,"Korea, Republic Of",20632,1997
5,Asia,India,25832,1997
5,Asia,Pakistan,3301,1997
5,Asia,"Sri Lanka, Republic Of",3801,1997
5,Asia,Saudi Arabia,637,1997
5,Asia,Kuwait,193,1997
5,Asia,United Arab Emirates,772,1997
5,Europe,United Kingdom,24766,1997
5,Europe,Germany,14618,1997
5,Europe,France,5886,1997
5,Europe,Italy,2937,1997
5,Europe,Netherlands,4790,1997
5,Europe,Greece,925,1997
5,Europe,Belgium-luxembourg,1594,1997
5,Europe,Switzerland,4146,1997
5,Europe,Austria,1333,1997
5,Europe,Scandinavia,5968,1997
5,Europe,CIS & Eastern Europe,3552,1997
5,Americas,USA,30916,1997
5,Americas,Canada,4722,1997
5,Oceania,Australia,30443,1997
5,Oceania,New Zealand,5699,1997
6,Asia,Brunei,4842,1997
6,Asia,Indonesia,111073,1997
6,Asia,Malaysia,59035,1997
6,Asia,Philippines,13033,1997
6,Asia,Thailand,17245,1997
6,Asia,Vietnam,2153,1997
6,Asia,Myanmar,2605,1997
6,Asia,Japan,88117,1997
6,Asia,Hong Kong,19497,1997
6,Asia,"China, People's Republic Of",19459,1997
6,Asia,Taiwan,51044,1997
6,Asia,"Korea, Republic Of",19279,1997
6,Asia,India,21988,1997
6,Asia,Pakistan,3833,1997
6,Asia,"Sri Lanka, Republic Of",3573,1997
6,Asia,Saudi Arabia,879,1997
6,Asia,Kuwait,374,1997
6,Asia,United Arab Emirates,1292,1997
6,Europe,United Kingdom,21880,1997
6,Europe,Germany,11112,1997
6,Europe,France,5610,1997
6,Europe,Italy,3154,1997
6,Europe,Netherlands,4570,1997
6,Europe,Greece,1138,1997
6,Europe,Belgium-luxembourg,1621,1997
6,Europe,Switzerland,3554,1997
6,Europe,Austria,1010,1997
6,Europe,Scandinavia,7108,1997
6,Europe,CIS & Eastern Europe,3902,1997
6,Americas,USA,33941,1997
6,Americas,Canada,4595,1997
6,Oceania,Australia,33361,1997
6,Oceania,New Zealand,7013,1997
7,Asia,Brunei,5896,1997
7,Asia,Indonesia,143679,1997
7,Asia,Malaysia,56137,1997
7,Asia,Philippines,13902,1997
7,Asia,Thailand,17195,1997
7,Asia,Vietnam,2162,1997
7,Asia,Myanmar,2257,1997
7,Asia,Japan,103095,1997
7,Asia,Hong Kong,24406,1997
7,Asia,"China, People's Republic Of",15101,1997
7,Asia,Taiwan,59691,1997
7,Asia,"Korea, Republic Of",26850,1997
7,Asia,India,20394,1997
7,Asia,Pakistan,4495,1997
7,Asia,"Sri Lanka, Republic Of",3784,1997
7,Asia,Saudi Arabia,3320,1997
7,Asia,Kuwait,919,1997
7,Asia,United Arab Emirates,2738,1997
7,Europe,United Kingdom,25651,1997
7,Europe,Germany,12199,1997
7,Europe,France,7456,1997
7,Europe,Italy,3692,1997
7,Europe,Netherlands,6677,1997
7,Europe,Greece,1240,1997
7,Europe,Belgium-luxembourg,2307,1997
7,Europe,Switzerland,4626,1997
7,Europe,Austria,1645,1997
7,Europe,Scandinavia,8087,1997
7,Europe,CIS & Eastern Europe,3519,1997
7,Americas,USA,31365,1997
7,Americas,Canada,5077,1997
7,Oceania,Australia,37140,1997
7,Oceania,New Zealand,7799,1997
8,Asia,Brunei,6119,1997
8,Asia,Indonesia,91044,1997
8,Asia,Malaysia,52493,1997
8,Asia,Philippines,12757,1997
8,Asia,Thailand,13662,1997
8,Asia,Vietnam,2203,1997
8,Asia,Myanmar,2306,1997
8,Asia,Japan,109875,1997
8,Asia,Hong Kong,34052,1997
8,Asia,"China, People's Republic Of",20025,1997
8,Asia,Taiwan,48729,1997
8,Asia,"Korea, Republic Of",32187,1997
8,Asia,India,19021,1997
8,Asia,Pakistan,3851,1997
