month,region,country,no_of_visitor_arrivals,year
3,Europe,United Kingdom,53323,2005
3,Europe,Germany,16427,2005
3,Europe,France,6927,2005
3,Europe,Italy,2293,2005
3,Europe,Netherlands,5564,2005
3,Europe,Greece,743,2005
3,Europe,Belgium-luxembourg,1642,2005
3,Europe,Switzerland,4224,2005
3,Europe,Austria,1235,2005
3,Europe,Scandinavia,9692,2005
3,Europe,CIS & Eastern Europe,5564,2005
3,Americas,USA,33209,2005
3,Americas,Canada,6608,2005
3,Oceania,Australia,43282,2005
3,Oceania,New Zealand,7365,2005
4,Asia,Brunei,3529,2005
4,Asia,Indonesia,132420,2005
4,Asia,Malaysia,47509,2005
4,Asia,Philippines,28754,2005
4,Asia,Thailand,43410,2005
4,Asia,Vietnam,13657,2005
4,Asia,Myanmar,4370,2005
4,Asia,Japan,41599,2005
4,Asia,Hong Kong,23614,2005
4,Asia,"China, People's Republic Of",68775,2005
4,Asia,Taiwan,16345,2005
4,Asia,"Korea, Republic Of",28923,2005
4,Asia,India,44459,2005
4,Asia,Pakistan,1198,2005
4,Asia,"Sri Lanka, Republic Of",8018,2005
4,Asia,Saudi Arabia,445,2005
4,Asia,Kuwait,173,2005
4,Asia,United Arab Emirates,1622,2005
4,Europe,United Kingdom,38553,2005
4,Europe,Germany,12633,2005
4,Europe,France,6871,2005
4,Europe,Italy,1930,2005
4,Europe,Netherlands,4601,2005
4,Europe,Greece,705,2005
4,Europe,Belgium-luxembourg,1311,2005
4,Europe,Switzerland,3732,2005
4,Europe,Austria,966,2005
4,Europe,Scandinavia,6218,2005
4,Europe,CIS & Eastern Europe,4520,2005
4,Americas,USA,25776,2005
4,Americas,Canada,5023,2005
4,Oceania,Australia,44999,2005
4,Oceania,New Zealand,9422,2005
5,Asia,Brunei,3455,2005
5,Asia,Indonesia,135357,2005
5,Asia,Malaysia,47577,2005
5,Asia,Philippines,34121,2005
5,Asia,Thailand,33739,2005
5,Asia,Vietnam,12535,2005
5,Asia,Myanmar,3196,2005
5,Asia,Japan,43968,2005
5,Asia,Hong Kong,25187,2005
5,Asia,"China, People's Republic Of",62872,2005
5,Asia,Taiwan,16019,2005
5,Asia,"Korea, Republic Of",28927,2005
5,Asia,India,71892,2005
5,Asia,Pakistan,1175,2005
5,Asia,"Sri Lanka, Republic Of",5315,2005
5,Asia,Saudi Arabia,395,2005
5,Asia,Kuwait,162,2005
5,Asia,United Arab Emirates,1625,2005
5,Europe,United Kingdom,27649,2005
5,Europe,Germany,11798,2005
5,Europe,France,6113,2005
5,Europe,Italy,2011,2005
5,Europe,Netherlands,4783,2005
5,Europe,Greece,660,2005
5,Europe,Belgium-luxembourg,1134,2005
5,Europe,Switzerland,3230,2005
5,Europe,Austria,901,2005
5,Europe,Scandinavia,5098,2005
5,Europe,CIS & Eastern Europe,4735,2005
5,Americas,USA,28910,2005
5,Americas,Canada,5212,2005
5,Oceania,Australia,46175,2005
5,Oceania,New Zealand,10440,2005
6,Asia,Brunei,5248,2005
6,Asia,Indonesia,161399,2005
6,Asia,Malaysia,53485,2005
6,Asia,Philippines,26305,2005
6,Asia,Thailand,30260,2005
6,Asia,Vietnam,16788,2005
6,Asia,Myanmar,3361,2005
6,Asia,Japan,43020,2005
6,Asia,Hong Kong,23843,2005
6,Asia,"China, People's Republic Of",61150,2005
6,Asia,Taiwan,16710,2005
6,Asia,"Korea, Republic Of",32366,2005
6,Asia,India,65849,2005
6,Asia,Pakistan,1663,2005
6,Asia,"Sri Lanka, Republic Of",5280,2005
6,Asia,Saudi Arabia,669,2005
6,Asia,Kuwait,478,2005
6,Asia,United Arab Emirates,2504,2005
6,Europe,United Kingdom,27311,2005
6,Europe,Germany,9240,2005
6,Europe,France,5352,2005
6,Europe,Italy,2169,2005
6,Europe,Netherlands,4553,2005
6,Europe,Greece,764,2005
6,Europe,Belgium-luxembourg,1221,2005
6,Europe,Switzerland,2827,2005
6,Europe,Austria,749,2005
6,Europe,Scandinavia,6147,2005
6,Europe,CIS & Eastern Europe,4433,2005
6,Americas,USA,33215,2005
6,Americas,Canada,4783,2005
6,Oceania,Australia,55188,2005
6,Oceania,New Zealand,11481,2005
7,Asia,Brunei,3738,2005
7,Asia,Indonesia,192448,2005
7,Asia,Malaysia,44301,2005
7,Asia,Philippines,25811,2005
7,Asia,Thailand,31991,2005
7,Asia,Vietnam,22286,2005
7,Asia,Myanmar,3628,2005
7,Asia,Japan,49791,2005
7,Asia,Hong Kong,35295,2005
7,Asia,"China, People's Republic Of",93889,2005
7,Asia,Taiwan,27702,2005
7,Asia,"Korea, Republic Of",42961,2005
7,Asia,India,51155,2005
7,Asia,Pakistan,1854,2005
7,Asia,"Sri Lanka, Republic Of",5665,2005
7,Asia,Saudi Arabia,1263,2005
7,Asia,Kuwait,1129,2005
7,Asia,United Arab Emirates,4942,2005
7,Europe,United Kingdom,35875,2005
7,Europe,Germany,11736,2005
7,Europe,France,8243,2005
7,Europe,Italy,2791,2005
7,Europe,Netherlands,6993,2005
7,Europe,Greece,1109,2005
7,Europe,Belgium-luxembourg,1671,2005
7,Europe,Switzerland,4386,2005
7,Europe,Austria,1216,2005
7,Europe,Scandinavia,7489,2005
7,Europe,CIS & Eastern Europe,5460,2005
7,Americas,USA,36069,2005
7,Americas,Canada,6501,2005
7,Oceania,Australia,60895,2005
7,Oceania,New Zealand,14219,2005
8,Asia,Brunei,3220,2005
8,Asia,Indonesia,134727,2005
8,Asia,Malaysia,45880,2005
8,Asia,Philippines,27093,2005
8,Asia,Thailand,29772,2005
8,Asia,Vietnam,17920,2005
8,Asia,Myanmar,2903,2005
8,Asia,Japan,61522,2005
8,Asia,Hong Kong,38649,2005
8,Asia,"China, People's Republic Of",101134,2005
8,Asia,Taiwan,22950,2005
8,Asia,"Korea, Republic Of",42791,2005
8,Asia,India,44678,2005
8,Asia,Pakistan,1679,2005
8,Asia,"Sri Lanka, Republic Of",6158,2005
8,Asia,Saudi Arabia,1170,2005
8,Asia,Kuwait,1492,2005
8,Asia,United Arab Emirates,5086,2005
8,Europe,United Kingdom,39335,2005
8,Europe,Germany,13070,2005
8,Europe,France,10103,2005
8,Europe,Italy,5048,2005
8,Europe,Netherlands,6112,2005
8,Europe,Greece,1098,2005
8,Europe,Belgium-luxembourg,1728,2005
8,Europe,Switzerland,3637,2005
8,Europe,Austria,1415,2005
8,Europe,Scandinavia,5123,2005
8,Europe,CIS & Eastern Europe,5095,2005
8,Americas,USA,31816,2005
8,Americas,Canada,6723,2005
8,Oceania,Australia,48381,2005
8,Oceania,New Zealand,11235,2005
9,Asia,Brunei,3983,2005
9,Asia,Indonesia,136276,2005
9,Asia,Malaysia,43998,2005
9,Asia,Philippines,27510,2005
9,Asia,Thailand,28915,2005
9,Asia,Vietnam,10764,2005
9,Asia,Myanmar,2666,2005
9,Asia,Japan,57085,2005
9,Asia,Hong Kong,23649,2005
9,Asia,"China, People's Republic Of",67061,2005
9,Asia,Taiwan,15670,2005
9,Asia,"Korea, Republic Of",25572,2005
9,Asia,India,43975,2005
9,Asia,Pakistan,1393,2005
9,Asia,"Sri Lanka, Republic Of",5625,2005
9,Asia,Saudi Arabia,783,2005
9,Asia,Kuwait,411,2005
9,Asia,United Arab Emirates,2089,2005
9,Europe,United Kingdom,31655,2005
9,Europe,Germany,12800,2005
9,Europe,France,5708,2005
9,Europe,Italy,2494,2005
9,Europe,Netherlands,4803,2005
9,Europe,Greece,704,2005
9,Europe,Belgium-luxembourg,1097,2005
9,Europe,Switzerland,3590,2005
9,Europe,Austria,1141,2005
9,Europe,Scandinavia,5543,2005
9,Europe,CIS & Eastern Europe,5076,2005
9,Americas,USA,25977,2005
9,Americas,Canada,4882,2005
9,Oceania,Australia,60587,2005
9,Oceania,New Zealand,12915,2005
10,Asia,Brunei,3202,2005
10,Asia,Indonesia,141565,2005
10,Asia,Malaysia,46161,2005
10,Asia,Philippines,31553,2005
10,Asia,Thailand,37085,2005
10,Asia,Vietnam,9729,2005
10,Asia,Myanmar,2956,2005
10,Asia,Japan,49532,2005
10,Asia,Hong Kong,22996,2005
10,Asia,"China, People's Republic Of",74501,2005
10,Asia,Taiwan,17754,2005
10,Asia,"Korea, Republic Of",30060,2005
10,Asia,India,53562,2005
10,Asia,Pakistan,1457,2005
10,Asia,"Sri Lanka, Republic Of",6037,2005
10,Asia,Saudi Arabia,234,2005
10,Asia,Kuwait,101,2005
10,Asia,United Arab Emirates,1375,2005
10,Europe,United Kingdom,35986,2005
10,Europe,Germany,15114,2005
10,Europe,France,6029,2005
10,Europe,Italy,3021,2005
10,Europe,Netherlands,5575,2005
10,Europe,Greece,777,2005
10,Europe,Belgium-luxembourg,1384,2005
10,Europe,Switzerland,4979,2005
10,Europe,Austria,1346,2005
10,Europe,Scandinavia,6970,2005
10,Europe,CIS & Eastern Europe,5943,2005
10,Americas,USA,28775,2005
10,Americas,Canada,6300,2005
10,Oceania,Australia,53289,2005
10,Oceania,New Zealand,11096,2005
11,Asia,Brunei,3614,2005
11,Asia,Indonesia,173305,2005
11,Asia,Malaysia,61060,2005
11,Asia,Philippines,28458,2005
11,Asia,Thailand,24961,2005
11,Asia,Vietnam,10155,2005
11,Asia,Myanmar,3095,2005
11,Asia,Japan,50402,2005
11,Asia,Hong Kong,20552,2005
11,Asia,"China, People's Republic Of",88704,2005
11,Asia,Taiwan,14094,2005
11,Asia,"Korea, Republic Of",31277,2005
11,Asia,India,48170,2005
11,Asia,Pakistan,1163,2005
11,Asia,"Sri Lanka, Republic Of",5140,2005
11,Asia,Saudi Arabia,401,2005
11,Asia,Kuwait,236,2005
11,Asia,United Arab Emirates,2011,2005
11,Europe,United Kingdom,41193,2005
11,Europe,Germany,15300,2005
11,Europe,France,6375,2005
11,Europe,Italy,2405,2005
11,Europe,Netherlands,5996,2005
11,Europe,Greece,714,2005
11,Europe,Belgium-luxembourg,1658,2005
11,Europe,Switzerland,4561,2005
11,Europe,Austria,1698,2005
11,Europe,Scandinavia,7722,2005
11,Europe,CIS & Eastern Europe,6609,2005
11,Americas,USA,32993,2005
11,Americas,Canada,8281,2005
11,Oceania,Australia,46304,2005
11,Oceania,New Zealand,8340,2005
12,Asia,Brunei,6863,2005
12,Asia,Indonesia,187847,2005
12,Asia,Malaysia,60523,2005
12,Asia,Philippines,27934,2005
12,Asia,Thailand,29744,2005
12,Asia,Vietnam,11837,2005
12,Asia,Myanmar,3814,2005
12,Asia,Japan,50994,2005
12,Asia,Hong Kong,22770,2005
12,Asia,"China, People's Republic Of",79945,2005
12,Asia,Taiwan,15123,2005
12,Asia,"Korea, Republic Of",32803,2005
12,Asia,India,53965,2005
12,Asia,Pakistan,1235,2005
12,Asia,"Sri Lanka, Republic Of",8091,2005
12,Asia,Saudi Arabia,453,2005
12,Asia,Kuwait,210,2005
12,Asia,United Arab Emirates,2213,2005
12,Europe,United Kingdom,42022,2005
12,Europe,Germany,11517,2005
12,Europe,France,6618,2005
12,Europe,Italy,2325,2005
12,Europe,Netherlands,5311,2005
12,Europe,Greece,753,2005
12,Europe,Belgium-luxembourg,1348,2005
12,Europe,Switzerland,3919,2005
12,Europe,Austria,1179,2005
12,Europe,Scandinavia,7913,2005
12,Europe,CIS & Eastern Europe,7388,2005
12,Americas,USA,34349,2005
12,Americas,Canada,8145,2005
12,Oceania,Australia,59155,2005
12,Oceania,New Zealand,8735,2005
1,Asia,Brunei,3010,2006
1,Asia,Indonesia,152123,2006
1,Asia,Malaysia,42836,2006
1,Asia,Philippines,23133,2006
1,Asia,Thailand,24544,2006
1,Asia,Vietnam,9588,2006
1,Asia,Myanmar,3153,2006
1,Asia,Japan,45402,2006
1,Asia,Hong Kong,23587,2006
1,Asia,"China, People's Republic Of",81734,2006
1,Asia,Taiwan,19898,2006
1,Asia,"Korea, Republic Of",40604,2006
1,Asia,India,43086,2006
1,Asia,Pakistan,974,2006
1,Asia,"Sri Lanka, Republic Of",4705,2006
1,Asia,Saudi Arabia,544,2006
1,Asia,Kuwait,280,2006
1,Asia,United Arab Emirates,2341,2006
1,Europe,United Kingdom,45886,2006
1,Europe,Germany,12340,2006
1,Europe,France,6175,2006
1,Europe,Italy,2563,2006
1,Europe,Netherlands,6065,2006
1,Europe,Greece,811,2006
1,Europe,Belgium-luxembourg,1483,2006
1,Europe,Switzerland,4011,2006
1,Europe,Austria,1382,2006
1,Europe,Scandinavia,9398,2006
1,Europe,CIS & Eastern Europe,10078,2006
1,Americas,USA,32807,2006
1,Americas,Canada,8896,2006
1,Oceania,Australia,63495,2006
1,Oceania,New Zealand,9035,2006
2,Asia,Brunei,3177,2006
2,Asia,Indonesia,122336,2006
2,Asia,Malaysia,44419,2006
2,Asia,Philippines,25592,2006
2,Asia,Thailand,26200,2006
2,Asia,Vietnam,10794,2006
2,Asia,Myanmar,2658,2006
2,Asia,Japan,44695,2006
2,Asia,Hong Kong,22743,2006
2,Asia,"China, People's Republic Of",96562,2006
2,Asia,Taiwan,17723,2006
2,Asia,"Korea, Republic Of",40835,2006
2,Asia,India,40083,2006
2,Asia,Pakistan,1218,2006
2,Asia,"Sri Lanka, Republic Of",4610,2006
2,Asia,Saudi Arabia,329,2006
2,Asia,Kuwait,226,2006
2,Asia,United Arab Emirates,1602,2006
2,Europe,United Kingdom,50690,2006
2,Europe,Germany,14776,2006
2,Europe,France,7646,2006
2,Europe,Italy,2673,2006
2,Europe,Netherlands,5862,2006
2,Europe,Greece,698,2006
2,Europe,Belgium-luxembourg,1569,2006
2,Europe,Switzerland,4245,2006
2,Europe,Austria,1331,2006
2,Europe,Scandinavia,10675,2006
2,Europe,CIS & Eastern Europe,6998,2006
2,Americas,USA,32611,2006
2,Americas,Canada,7818,2006
2,Oceania,Australia,42262,2006
2,Oceania,New Zealand,5485,2006
3,Asia,Brunei,4075,2006
3,Asia,Indonesia,141056,2006
3,Asia,Malaysia,52980,2006
3,Asia,Philippines,31939,2006
3,Asia,Thailand,32483,2006
3,Asia,Vietnam,11863,2006
3,Asia,Myanmar,3615,2006
3,Asia,Japan,62353,2006
3,Asia,Hong Kong,21726,2006
3,Asia,"China, People's Republic Of",91092,2006
3,Asia,Taiwan,16227,2006
3,Asia,"Korea, Republic Of",36144,2006
3,Asia,India,50070,2006
3,Asia,Pakistan,1457,2006
3,Asia,"Sri Lanka, Republic Of",5396,2006
3,Asia,Saudi Arabia,482,2006
3,Asia,Kuwait,210,2006
3,Asia,United Arab Emirates,2251,2006
3,Europe,United Kingdom,54936,2006
3,Europe,Germany,18964,2006
3,Europe,France,7748,2006
3,Europe,Italy,2859,2006
3,Europe,Netherlands,6014,2006
3,Europe,Greece,816,2006
3,Europe,Belgium-luxembourg,1500,2006
3,Europe,Switzerland,4614,2006
3,Europe,Austria,1499,2006
3,Europe,Scandinavia,9386,2006
3,Europe,CIS & Eastern Europe,8060,2006
3,Americas,USA,36044,2006
3,Americas,Canada,8255,2006
3,Oceania,Australia,53965,2006
3,Oceania,New Zealand,6317,2006
4,Asia,Brunei,3457,2006
4,Asia,Indonesia,147235,2006
4,Asia,Malaysia,51480,2006
4,Asia,Philippines,37713,2006
4,Asia,Thailand,37862,2006
4,Asia,Vietnam,12993,2006
4,Asia,Myanmar,4699,2006
4,Asia,Japan,41269,2006
4,Asia,Hong Kong,28836,2006
4,Asia,"China, People's Republic Of",97423,2006
4,Asia,Taiwan,17657,2006
4,Asia,"Korea, Republic Of",31780,2006
4,Asia,India,53531,2006
4,Asia,Pakistan,1251,2006
4,Asia,"Sri Lanka, Republic Of",8626,2006
4,Asia,Saudi Arabia,754,2006
4,Asia,Kuwait,203,2006
4,Asia,United Arab Emirates,2094,2006
4,Europe,United Kingdom,41716,2006
4,Europe,Germany,16067,2006
4,Europe,France,7712,2006
4,Europe,Italy,2543,2006
4,Europe,Netherlands,4729,2006
4,Europe,Greece,885,2006
4,Europe,Belgium-luxembourg,1571,2006
4,Europe,Switzerland,4909,2006
4,Europe,Austria,1209,2006
4,Europe,Scandinavia,7348,2006
4,Europe,CIS & Eastern Europe,6926,2006
4,Americas,USA,28940,2006
4,Americas,Canada,6407,2006
4,Oceania,Australia,63480,2006
4,Oceania,New Zealand,10618,2006
5,Asia,Brunei,2955,2006
5,Asia,Indonesia,146039,2006
5,Asia,Malaysia,49755,2006
5,Asia,Philippines,39995,2006
5,Asia,Thailand,30587,2006
5,Asia,Vietnam,11755,2006
5,Asia,Myanmar,3678,2006
5,Asia,Japan,42907,2006
5,Asia,Hong Kong,24008,2006
5,Asia,"China, People's Republic Of",78594,2006
5,Asia,Taiwan,15410,2006
5,Asia,"Korea, Republic Of",34236,2006
5,Asia,India,80687,2006
5,Asia,Pakistan,1611,2006
5,Asia,"Sri Lanka, Republic Of",5354,2006
5,Asia,Saudi Arabia,467,2006
5,Asia,Kuwait,170,2006
5,Asia,United Arab Emirates,2067,2006
5,Europe,United Kingdom,28313,2006
5,Europe,Germany,10865,2006
5,Europe,France,6787,2006
5,Europe,Italy,2516,2006
5,Europe,Netherlands,4413,2006
5,Europe,Greece,673,2006
5,Europe,Belgium-luxembourg,1193,2006
5,Europe,Switzerland,3775,2006
5,Europe,Austria,838,2006
5,Europe,Scandinavia,4601,2006
5,Europe,CIS & Eastern Europe,6678,2006
5,Americas,USA,30705,2006
5,Americas,Canada,5905,2006
5,Oceania,Australia,51237,2006
5,Oceania,New Zealand,9736,2006
6,Asia,Brunei,4859,2006
6,Asia,Indonesia,167216,2006
6,Asia,Malaysia,56325,2006
6,Asia,Philippines,29790,2006
6,Asia,Thailand,28946,2006
6,Asia,Vietnam,17513,2006
6,Asia,Myanmar,3547,2006
6,Asia,Japan,43153,2006
6,Asia,Hong Kong,23998,2006
6,Asia,"China, People's Republic Of",71213,2006
6,Asia,Taiwan,17393,2006
6,Asia,"Korea, Republic Of",36327,2006
6,Asia,India,67838,2006
6,Asia,Pakistan,2279,2006
6,Asia,"Sri Lanka, Republic Of",5811,2006
6,Asia,Saudi Arabia,812,2006
6,Asia,Kuwait,349,2006
6,Asia,United Arab Emirates,2994,2006
6,Europe,United Kingdom,26141,2006
6,Europe,Germany,9356,2006
6,Europe,France,6104,2006
6,Europe,Italy,2566,2006
6,Europe,Netherlands,4280,2006
6,Europe,Greece,630,2006
6,Europe,Belgium-luxembourg,1192,2006
6,Europe,Switzerland,2831,2006
6,Europe,Austria,799,2006
6,Europe,Scandinavia,5200,2006
6,Europe,CIS & Eastern Europe,5212,2006
6,Americas,USA,36431,2006
6,Americas,Canada,5043,2006
6,Oceania,Australia,60988,2006
6,Oceania,New Zealand,12559,2006
7,Asia,Brunei,3822,2006
7,Asia,Indonesia,192166,2006
7,Asia,Malaysia,48104,2006
7,Asia,Philippines,30567,2006
7,Asia,Thailand,29003,2006
7,Asia,Vietnam,20816,2006
7,Asia,Myanmar,4643,2006
7,Asia,Japan,52407,2006
7,Asia,Hong Kong,28265,2006
7,Asia,"China, People's Republic Of",113127,2006
7,Asia,Taiwan,27109,2006
7,Asia,"Korea, Republic Of",45685,2006
7,Asia,India,53121,2006
7,Asia,Pakistan,3320,2006
7,Asia,"Sri Lanka, Republic Of",6078,2006
7,Asia,Saudi Arabia,1785,2006
7,Asia,Kuwait,853,2006
7,Asia,United Arab Emirates,5445,2006
7,Europe,United Kingdom,34260,2006
7,Europe,Germany,11095,2006
7,Europe,France,8889,2006
7,Europe,Italy,2842,2006
7,Europe,Netherlands,7156,2006
7,Europe,Greece,1029,2006
7,Europe,Belgium-luxembourg,1729,2006
7,Europe,Switzerland,4228,2006
7,Europe,Austria,1467,2006
7,Europe,Scandinavia,6883,2006
7,Europe,CIS & Eastern Europe,6196,2006
7,Americas,USA,39092,2006
7,Americas,Canada,6967,2006
7,Oceania,Australia,66485,2006
7,Oceania,New Zealand,14742,2006
8,Asia,Brunei,3389,2006
8,Asia,Indonesia,164474,2006
8,Asia,Malaysia,51108,2006
8,Asia,Philippines,29722,2006
8,Asia,Thailand,27775,2006
8,Asia,Vietnam,17916,2006
8,Asia,Myanmar,3977,2006
8,Asia,Japan,62970,2006
8,Asia,Hong Kong,30672,2006
8,Asia,"China, People's Republic Of",103459,2006
8,Asia,Taiwan,23438,2006
8,Asia,"Korea, Republic Of",44846,2006
8,Asia,India,49536,2006
8,Asia,Pakistan,2500,2006
8,Asia,"Sri Lanka, Republic Of",6796,2006
8,Asia,Saudi Arabia,1842,2006
8,Asia,Kuwait,1316,2006
8,Asia,United Arab Emirates,5354,2006
8,Europe,United Kingdom,39950,2006
8,Europe,Germany,12952,2006
8,Europe,France,11062,2006
8,Europe,Italy,5698,2006
8,Europe,Netherlands,6595,2006
8,Europe,Greece,1294,2006
8,Europe,Belgium-luxembourg,1674,2006
8,Europe,Switzerland,4105,2006
8,Europe,Austria,1385,2006
8,Europe,Scandinavia,4949,2006
8,Europe,CIS & Eastern Europe,6917,2006
8,Americas,USA,33504,2006
8,Americas,Canada,6442,2006
8,Oceania,Australia,55387,2006
8,Oceania,New Zealand,12738,2006
9,Asia,Brunei,3511,2006
9,Asia,Indonesia,136514,2006
9,Asia,Malaysia,46748,2006
9,Asia,Philippines,29747,2006
9,Asia,Thailand,26498,2006
9,Asia,Vietnam,12514,2006
9,Asia,Myanmar,3568,2006
9,Asia,Japan,51284,2006
9,Asia,Hong Kong,20463,2006
9,Asia,"China, People's Republic Of",63549,2006
9,Asia,Taiwan,15350,2006
9,Asia,"Korea, Republic Of",29315,2006
9,Asia,India,49413,2006
9,Asia,Pakistan,1551,2006
9,Asia,"Sri Lanka, Republic Of",5558,2006
9,Asia,Saudi Arabia,666,2006
9,Asia,Kuwait,315,2006
9,Asia,United Arab Emirates,2012,2006
9,Europe,United Kingdom,32342,2006
9,Europe,Germany,12532,2006
9,Europe,France,6297,2006
9,Europe,Italy,2904,2006
9,Europe,Netherlands,5264,2006
9,Europe,Greece,936,2006
9,Europe,Belgium-luxembourg,1381,2006
9,Europe,Switzerland,4048,2006
9,Europe,Austria,1197,2006
9,Europe,Scandinavia,5408,2006
9,Europe,CIS & Eastern Europe,6546,2006
9,Americas,USA,29118,2006
9,Americas,Canada,4773,2006
9,Oceania,Australia,59479,2006
9,Oceania,New Zealand,12957,2006
10,Asia,Brunei,2950,2006
10,Asia,Indonesia,210354,2006
10,Asia,Malaysia,61457,2006
10,Asia,Philippines,36293,2006
10,Asia,Thailand,35860,2006
10,Asia,Vietnam,12537,2006
10,Asia,Myanmar,4008,2006
10,Asia,Japan,47551,2006
10,Asia,Hong Kong,21801,2006
10,Asia,"China, People's Republic Of",70690,2006
10,Asia,Taiwan,17087,2006
10,Asia,"Korea, Republic Of",35025,2006
10,Asia,India,58389,2006
10,Asia,Pakistan,1290,2006
10,Asia,"Sri Lanka, Republic Of",5669,2006
10,Asia,Saudi Arabia,501,2006
10,Asia,Kuwait,123,2006
10,Asia,United Arab Emirates,2701,2006
10,Europe,United Kingdom,40387,2006
10,Europe,Germany,14840,2006
10,Europe,France,7179,2006
10,Europe,Italy,2548,2006
10,Europe,Netherlands,6281,2006
10,Europe,Greece,879,2006
10,Europe,Belgium-luxembourg,1664,2006
10,Europe,Switzerland,5304,2006
10,Europe,Austria,1355,2006
10,Europe,Scandinavia,7726,2006
10,Europe,CIS & Eastern Europe,7441,2006
10,Americas,USA,29829,2006
10,Americas,Canada,5996,2006
10,Oceania,Australia,61388,2006
10,Oceania,New Zealand,10442,2006
11,Asia,Brunei,3782,2006
11,Asia,Indonesia,137000,2006
11,Asia,Malaysia,56430,2006
11,Asia,Philippines,35712,2006
11,Asia,Thailand,26894,2006
11,Asia,Vietnam,12867,2006
11,Asia,Myanmar,4120,2006
11,Asia,Japan,52046,2006
11,Asia,Hong Kong,22845,2006
11,Asia,"China, People's Republic Of",88342,2006
11,Asia,Taiwan,15953,2006
11,Asia,"Korea, Republic Of",43791,2006
11,Asia,India,51569,2006
11,Asia,Pakistan,1485,2006
11,Asia,"Sri Lanka, Republic Of",5958,2006
11,Asia,Saudi Arabia,609,2006
11,Asia,Kuwait,238,2006
11,Asia,United Arab Emirates,2336,2006
11,Europe,United Kingdom,45786,2006
11,Europe,Germany,15425,2006
11,Europe,France,7632,2006
11,Europe,Italy,2876,2006
11,Europe,Netherlands,6157,2006
11,Europe,Greece,954,2006
11,Europe,Belgium-luxembourg,1714,2006
11,Europe,Switzerland,5396,2006
11,Europe,Austria,1700,2006
11,Europe,Scandinavia,8360,2006
11,Europe,CIS & Eastern Europe,8323,2006
11,Americas,USA,35155,2006
11,Americas,Canada,7987,2006
11,Oceania,Australia,49822,2006
11,Oceania,New Zealand,7548,2006
12,Asia,Brunei,6344,2006
12,Asia,Indonesia,205625,2006
12,Asia,Malaysia,72622,2006
12,Asia,Philippines,35893,2006
12,Asia,Thailand,29714,2006
12,Asia,Vietnam,13949,2006
12,Asia,Myanmar,4981,2006
12,Asia,Japan,48367,2006
12,Asia,Hong Kong,22530,2006
12,Asia,"China, People's Republic Of",81412,2006
12,Asia,Taiwan,16218,2006
12,Asia,"Korea, Republic Of",36133,2006
12,Asia,India,61570,2006
12,Asia,Pakistan,1590,2006
12,Asia,"Sri Lanka, Republic Of",8720,2006
12,Asia,Saudi Arabia,758,2006
12,Asia,Kuwait,352,2006
12,Asia,United Arab Emirates,2816,2006
12,Europe,United Kingdom,47759,2006
12,Europe,Germany,11910,2006
12,Europe,France,6966,2006
12,Europe,Italy,3069,2006
12,Europe,Netherlands,5358,2006
12,Europe,Greece,835,2006
12,Europe,Belgium-luxembourg,1430,2006
12,Europe,Switzerland,4414,2006
12,Europe,Austria,1244,2006
12,Europe,Scandinavia,8775,2006
12,Europe,CIS & Eastern Europe,9450,2006
12,Americas,USA,35546,2006
12,Americas,Canada,8915,2006
12,Oceania,Australia,63644,2006
12,Oceania,New Zealand,7888,2006
1,Asia,Brunei,3813,2007
1,Asia,Indonesia,158510,2007
1,Asia,Malaysia,45147,2007
1,Asia,Philippines,27798,2007
1,Asia,Thailand,25863,2007
1,Asia,Vietnam,12555,2007
1,Asia,Myanmar,4887,2007
1,Asia,Japan,49959,2007
1,Asia,Hong Kong,19559,2007
1,Asia,"China, People's Republic Of",76116,2007
1,Asia,Taiwan,17156,2007
1,Asia,"Korea, Republic Of",46756,2007
1,Asia,India,52339,2007
1,Asia,Pakistan,1654,2007
1,Asia,"Sri Lanka, Republic Of",5057,2007
1,Asia,Saudi Arabia,494,2007
1,Asia,Kuwait,328,2007
1,Asia,United Arab Emirates,2645,2007
1,Europe,United Kingdom,51913,2007
1,Europe,Germany,14366,2007
1,Europe,France,8494,2007
1,Europe,Italy,3986,2007
1,Europe,Netherlands,6039,2007
1,Europe,Greece,930,2007
1,Europe,Belgium-luxembourg,1504,2007
1,Europe,Switzerland,4942,2007
1,Europe,Austria,1575,2007
1,Europe,Scandinavia,10910,2007
1,Europe,CIS & Eastern Europe,13980,2007
1,Americas,USA,36947,2007
1,Americas,Canada,8510,2007
1,Oceania,Australia,68190,2007
1,Oceania,New Zealand,7778,2007
2,Asia,Brunei,3471,2007
2,Asia,Indonesia,120382,2007
2,Asia,Malaysia,48175,2007
2,Asia,Philippines,30588,2007
2,Asia,Thailand,22575,2007
2,Asia,Vietnam,11969,2007
2,Asia,Myanmar,3749,2007
2,Asia,Japan,46920,2007
2,Asia,Hong Kong,26025,2007
2,Asia,"China, People's Republic Of",111934,2007
2,Asia,Taiwan,23307,2007
2,Asia,"Korea, Republic Of",31464,2007
2,Asia,India,42507,2007
2,Asia,Pakistan,1216,2007
2,Asia,"Sri Lanka, Republic Of",4797,2007
2,Asia,Saudi Arabia,664,2007
2,Asia,Kuwait,290,2007
2,Asia,United Arab Emirates,1944,2007
2,Europe,United Kingdom,50663,2007
2,Europe,Germany,14016,2007
2,Europe,France,9103,2007
2,Europe,Italy,3442,2007
